factuurnummer,klantnummer,factuurdatum,bedrag_incl_btw,journaal_id,businesslijn,transactienummer
VK001391,C10000,2016-01-08,206.67,70,Verkoopboek ordermanagement,14533
VK001392,C10006,2016-01-08,679.42,70,Verkoopboek ordermanagement,14534
VK001393,C10014,2016-01-08,479.16,70,Verkoopboek ordermanagement,14536
VK001394,C10028,2016-01-08,2776.41,70,Verkoopboek ordermanagement,14538
VK001395,C10029,2016-01-08,1028.5,70,Verkoopboek ordermanagement,14540
VK001396,C10052,2016-01-08,871.2,70,Verkoopboek ordermanagement,14542
VK001397,C10056,2016-01-08,254.1,70,Verkoopboek ordermanagement,14544
VK001398,C10059,2016-01-08,2716.45,70,Verkoopboek ordermanagement,14546
VK001399,C10066,2016-01-08,4537.5,70,Verkoopboek ordermanagement,14548
VK001400,C10005,2016-01-08,3840.24,70,Verkoopboek ordermanagement,14550
VK001401,C10082,2016-01-08,5967.72,70,Verkoopboek ordermanagement,14552
VK001402,C10093,2016-01-08,4954.95,70,Verkoopboek ordermanagement,14554
VK001403,C10108,2016-01-08,1560.9,70,Verkoopboek ordermanagement,14556
VK001404,C10122,2016-01-08,1343.1,70,Verkoopboek ordermanagement,14558
VK001405,C10129,2016-01-08,635.25,70,Verkoopboek ordermanagement,14560
VK001406,C10133,2016-01-08,30.25,70,Verkoopboek ordermanagement,14562
VK001407,C10136,2016-01-08,401.72,70,Verkoopboek ordermanagement,14564
VK001408,C10138,2016-01-08,5.99,70,Verkoopboek ordermanagement,14566
VK001409,C10148,2016-01-08,816.75,70,Verkoopboek ordermanagement,14567
VK001410,C10151,2016-01-08,17.97,70,Verkoopboek ordermanagement,14569
VK001411,C10159,2016-01-08,8548.65,70,Verkoopboek ordermanagement,14570
VK001412,C10169,2016-01-08,1086.58,70,Verkoopboek ordermanagement,14572
VK001413,C10170,2016-01-08,1671.98,70,Verkoopboek ordermanagement,14574
VK001414,C10171,2016-01-08,558.22,70,Verkoopboek ordermanagement,14576
VK001415,C21823,2016-01-08,125,70,Verkoopboek ordermanagement,14578
VK001416,C24851,2016-01-08,180,70,Verkoopboek ordermanagement,14580
VK001417,C10014,2016-01-15,174.24,70,Verkoopboek ordermanagement,14582
VK001418,C10017,2016-01-15,925.65,70,Verkoopboek ordermanagement,14584
VK001419,C10026,2016-01-15,4806.12,70,Verkoopboek ordermanagement,14585
VK001420,C10031,2016-01-15,520.3,70,Verkoopboek ordermanagement,14587
VK001421,C10032,2016-01-15,803.44,70,Verkoopboek ordermanagement,14589
VK001422,C10056,2016-01-15,1491.93,70,Verkoopboek ordermanagement,14591
VK001423,C10060,2016-01-15,447.7,70,Verkoopboek ordermanagement,14593
VK001424,C10064,2016-01-15,98.01,70,Verkoopboek ordermanagement,14595
VK001425,C10070,2016-01-15,402.93,70,Verkoopboek ordermanagement,14597
VK001426,C10074,2016-01-15,641.3,70,Verkoopboek ordermanagement,14599
VK001427,C10080,2016-01-15,1078.11,70,Verkoopboek ordermanagement,14601
VK001428,C10088,2016-01-15,41.93,70,Verkoopboek ordermanagement,14603
VK001429,C10092,2016-01-15,47.19,70,Verkoopboek ordermanagement,14604
VK001430,C10099,2016-01-15,87.12,70,Verkoopboek ordermanagement,14606
VK001431,C10112,2016-01-15,108.9,70,Verkoopboek ordermanagement,14608
VK001432,C10113,2016-01-15,235.95,70,Verkoopboek ordermanagement,14610
VK001433,C10123,2016-01-15,844.58,70,Verkoopboek ordermanagement,14612
VK001434,C10132,2016-01-15,30.25,70,Verkoopboek ordermanagement,14614
VK001435,C10153,2016-01-15,5252.61,70,Verkoopboek ordermanagement,14616
VK001436,C10156,2016-01-15,263.18,70,Verkoopboek ordermanagement,14618
VK001437,C10163,2016-01-15,4647.91,70,Verkoopboek ordermanagement,14620
VK001438,C10171,2016-01-15,568.7,70,Verkoopboek ordermanagement,14622
VK001439,C10172,2016-01-15,1448.37,70,Verkoopboek ordermanagement,14624
VK001440,C23955,2016-01-15,120,70,Verkoopboek ordermanagement,14626
VK001441,C24851,2016-01-15,765,70,Verkoopboek ordermanagement,14628
VK001442,C10008,2016-01-22,468.52,70,Verkoopboek ordermanagement,14629
VK001443,C10014,2016-01-22,5530.52,70,Verkoopboek ordermanagement,14631
