factuurnummer,leveranciernummer,factuurdatum,bedrag_incl_btw,journaal_id,inkoopboek,transactienummer,soort_boeking
IG000307,S50034,2016-01-04,121,10,Inkoopboek goederen,14790,AscImp
IG000308,S50012,2016-01-05,609.9,10,Inkoopboek goederen,14791,AscImp
IG000309,S50031,2016-01-06,16221.13,10,Inkoopboek goederen,14792,AscImp
IG000310,S50034,2016-01-06,11848.32,10,Inkoopboek goederen,14793,AscImp
IG000311,S50029,2016-01-07,1001.88,10,Inkoopboek goederen,14794,AscImp
IG000312,S50031,2016-01-08,6352.04,10,Inkoopboek goederen,14795,AscImp
IG000314,S50029,2016-01-11,4893.24,10,Inkoopboek goederen,14796,AscImp
IG000313,S50030,2016-01-11,1043.02,10,Inkoopboek goederen,14805,AscImp
IG000315,S50028,2016-01-12,1490.91,10,Inkoopboek goederen,14797,AscImp
IG000316,S50024,2016-01-12,3435.58,10,Inkoopboek goederen,14798,AscImp
IG000317,S50012,2016-01-12,965.34,10,Inkoopboek goederen,14799,AscImp
IG000318,S50024,2016-01-13,5151.65,10,Inkoopboek goederen,14800,AscImp
IG000319,S50032,2016-01-13,1623.82,10,Inkoopboek goederen,14801,AscImp
IG000320,S50028,2016-01-14,242.77,10,Inkoopboek goederen,14802,AscImp
IG000321,S50034,2016-01-14,20572.9,10,Inkoopboek goederen,14803,AscImp
IG000322,S50030,2016-01-15,1262.64,10,Inkoopboek goederen,14804,AscImp
IG000323,S50031,2016-02-01,7484.71,10,Inkoopboek goederen,15460,AscImp
IG000324,S50012,2016-02-02,699.56,10,Inkoopboek goederen,15446,AscImp
IG000325,S50024,2016-02-03,21604.63,10,Inkoopboek goederen,15447,AscImp
IG000326,S50030,2016-02-04,1135.83,10,Inkoopboek goederen,15448,AscImp
IG000327,S50029,2016-02-05,1742.4,10,Inkoopboek goederen,15449,AscImp
IG000328,S50030,2016-02-08,991.29,10,Inkoopboek goederen,15450,AscImp
