leveranciernummer,leveranciernaam,contactpersoon,telefoon,email,kvk_nummer,straat,huisnummer,postcode,plaats,land,iban
S50000,EnYoi ICT Services B.V.,,033-4341800,k.zandbergen@enyoi.afas,354652,Philipsstraat,9,3833 LC,Leusden,NL,
S50001,Belastingdienst,,0800-0543,leuk@belastingdienst.afas,,Stationsplein,51,7311 NZ,Apeldoorn,NL,NL86INGB0002445588
S50002,Schoonmaakbedrijf Clean B.V.,,033-3987214,info@schoonmaakbedrijf-clean.afas,38123727,Stadsring,37,3811 HN,Amersfoort,NL,NL95INGB0004082010
S50003,Corporate Express,,036-5476700,info@cexp.afas,33272529,Rondebeltweg,102,1329 BH,Almere,NL,NL92RABO0300401094
S50004,FD Mediagroep B.V.,,020-5928888,info@fdmediagroep.afas,33292629,Prins Bernhardplein,173,1097 BL,Amsterdam,NL,NL41INGB0004082012
S50005,De Telegraaf B.V.,,088-8248241,info@telegraaf.afas,33072792,Basisweg,30,1043 AP,Amsterdam,NL,NL59INGB0002252656
S50006,VNU Business Publications B.V.,,0294-361830,klantenservice@bp.vnu.afas,33174874,Amsterdamsestraatweg,26,1391 AB,Abcoude,NL,NL73ABNA0484251473
S50008,ANWB B.V.,,070-3147373,info@anwb.afas,27157000,Wassenaarseweg,220,2596 EC,'s-Gravenhage,NL,NL90ABNA0567545261
S50009,MaetisArdyn,,030-2123600,info@maetis.a.afas,27145186,Papiermolen,26,3994 DK,Houten,NL,NL07INGB0000607793
S50010,Pallet groothandel C.V.,,033-3399414,info@pallet.afas,,Wolframkade,3,3812 RC,Amersfoort,NL,NL31INGB0005521478
S50011,Centraal Beheer Achmea,,055-5797777,info@centraalbeheer.afas,08053410,Prins Willem Alexanderlaan,651,7311 NB,Apeldoorn,NL,NL93RABO0300421931
S50012,Microsoft B.V.,,020-5001500,info@microsoft.afas,,Boeing Avenue,30,1119 PE,Schiphol-Rijk,NL,NL30ABNA0453002048
S50013,Accountantskantoor Eemland B.V.,,033-6523187,info@eemlandacc.afas,85473000,Amsterdamseweg,121,3812 RR,Amersfoort,NL,NL70INGB0000244558
S50014,Lease Plan Nederland N.V.,,036-5272700,info@leaseplan.a.afas,39038941,Noordelijk Halfrond,10,2801 DE,Gouda,NL,NL07ABNA0486582116
S50015,TNT Post Business Service,,030-4673973,info@tntpost.afas,27124700,Atoomweg,62,3542 AB,Utrecht,NL,NL17ABNA0560324731
S50016,Dell Computer B.V.,,020-6745500,info@dell.afas,24235735,Transformatorweg,38,1014 AK,Amsterdam,NL,NL13RABO0300060300
S50017,Compaq Computers B.V.,,030-2832848,info@compaq.afas,34186841,Europalaan,44,3526 KS,Utrecht,NL,NL68DEUT0570621259
S50018,Philips B.V.,,040-4444444,info@philips.afas,,Boschdijk,935,5626 AB,Eindhoven,NL,NL25ABNA0444200843
S50019,Nedstat B.V.,,020-5195400,info@nedstat.afas,33281270,Dalsteindreef,30,1112 XC,Diemen,NL,NL47ASNB0852149875
S50020,"Computeronderdelen ""De harde schijf"" B.V.",,0900-3444668,info@dehardeschijf.afas,34104947,Vondellaan,8,1942 LJ,Beverwijk,NL,NL94RABO0393883353
S50021,Agis Ziektekostenverzekeringen N.V.,,0900-8494,info@agis.afas,31048764,Van Asch van Wijckstraat,55,3811 LP,Amersfoort,NL,NL05ABNA0494548762
S50022,Stichting Buma/Stemra,,023-6336194,info@bumastemra.afas,41198523,Siriusdreef,22,2132 WT,Hoofddorp,NL,NL42INGB0675421322
S50023,Wegener Publicatie Services,,055-5389250,info@wegener.afas,08037908,Laan van Westenenk,4,7336 AZ,Apeldoorn,NL,NL80ABNA0445812575
S50024,HP Nederland,,020-2222000,info@hp.afas,,Startbaan,16,1187 XR,Amstelveen,NL,NL05RABO0301055858
S50025,Vastgoed Midden-Nederland B.V.,,030-9513234,info@vastgoedmn.afas,,Prins Bernhardlaan,43,3555 AB,Utrecht,NL,NL74ABNA0567551563
S50026,ENECO Energie Services B.V.,,030-6668785,info@eneco.afas,30156801,Nijverheidsweg,15,3534 AM,Utrecht,NL,NL73RABO0333233123
S50027,Ford Bedrijfswagens,,0592-464581,toet@ford.afas,,van Vlissingenstraat,61,9403 BB,Assen,NL,NL40ABNA0518574644
S50028,Benq Nederland,,020-5123475,algemeen@benq.afas,1236472123,Tweede Nassaustraat,31,1052 BL,Amsterdam,NL,NL04ABNA0558541232
S50029,Samsung Electronics Nederland B.V.,,015-2196100,mail@samsungg.afas,,Olof Palmestraat,10,2616 LR,Delft,NL,NL95INGB0005214873
S50030,Logitech Benelux B.V.,,033-5231874,contact@logitech.afas,,Maanlander,14,3824 MP,Amersfoort,NL,NL08INGB0675835542
S50031,Groothandel Micro B.V.,,030-2464001,info@micro.afas,,Structuurbaan,40,3439 MB,Nieuwegein,NL,NL24INGB0007725541
S50032,ICT Groothandel Midden-Nederland,,023-2574195,info@middennederland.afas,,Veerpolder,36,2031 AR,Haarlem,NL,NL23INGB0004306503
S50033,KPN Telecom Regio Midden,,0800-0471,info@kpn.afas,27124701,Postbus,8577,3503 RN,Utrecht,NL,NL88ABNA0567561593
S50034,Acer Computer B.V. (Benelux),,073-6459645,benelux@acer.afas,,Kerkstraat,73,5211 KE,'s-Hertogenbosch,NL,NL28RBOS0569988888
S50035,AFAS Software B.V.,,033-4341800,info@afas.afas,31046821,Philipsstraat,9,3833 LC,Leusden,NL,NL92RABO0142294101
S50036,"Drukkerij ""De Dreunende Persen""",,033-4125781,infor@ddp.afas,,Storkstraat,11,3833 LB,Leusden,NL,NL91RABO0301019584
S50037,Vitens,,088-8845060,contact@vitens.afas,,Reactorweg,47,3542 AD,Utrecht,NL,NL49RABO0300001258
S50038,Gemeente Leusden,,033-4961611,gemeente@leusden.afas,,'t Erf,1,3831 NA,Leusden,NL,NL89BNGH0620554215
S50039,TMG b.v. (Telegraaf Media Groep),,020-5859111,info@telegraaf.afas,,Basisweg,30,1043 AP,Amsterdam,NL,NL54INGB0000000503
S50040,Tempo Team Uitzendbureau,,033-4651055,amersfoort@tempo-team.afas,,Hellestraat,11,3811 LK,Amersfoort,NL,NL08INGB0001254280
S50041,Longfonds,,033-4341212,info@longfonds.afas,40506839,Stationsplein,127,3818 LE,Amersfoort,NL,NL95INGB0000055055
S50042,Ikea Amersfoort,,0900-2354532,meubelen@ikea.afas,,Euroweg,101,3825 HB,Amersfoort,NL,NL34INGB0004959697
S50090,EnYoi Holding B.V.,,033-4341888,info@enyoyhold.afas,,Philipsstraat,11,3833 LC,Leusden,NL,
S50500,ARBO Dienst,,010-4491257,info@arbo-rotterdam.afas,,Kleiweg,343,3045 PK,Rotterdam,NL,NL09RABO0171254848
S50894,Canon Nederland,,020-7149400,sales@canon.afas,,Bovenkerkerweg,59,1185 XB,Amstelveen,NL,NL14RABO0108756300
S50903,Caliber Europe BV,,0416-699000,caliber@audio.afas,18127431,Parallelweg,2,4261 GA,Wijk en Aalburg,NL,NL85RABO0373355114
S51000,Bouwbedrijf Nelissen en de Vries,,033-2545877,bouw@nelissendevries.afas,,Plotterweg,38,3821 BB,Amersfoort,NL,NL32RABO0311252109
S51005,Aannemerij de Haas,,033-4322581,administratie@haas.afas,,Klepelhoek,7,3833 GZ,Leusden,NL,NL04ASNB0712545824
S51010,"Beton, Steen en Hout BV",,033-4236999,admin@bsh.afas,,Driftakkerweg,8,3833 AB,Leusden,NL,NL34INGB0007025894
