datum,bedrag,tegenpartij_id,factuurreferentie,bankrekening,kanaal,transactienummer
2016-01-21,-195.49,S50003,IK000497,1615,Betalingen onderweg,14806
2016-01-21,-1936,S50004,IK000493,1615,Betalingen onderweg,14807
2016-01-21,-334.55,S50015,IK000494,1615,Betalingen onderweg,14808
2016-01-21,-341.7,S50021,IK000496,1615,Betalingen onderweg,14809
2016-01-21,-809.05,S50028,IG000290,1615,Betalingen onderweg,14810
2016-01-21,-871.2,S50029,IG000296,1615,Betalingen onderweg,14811
2016-01-21,-1836.78,S50029,IG000297,1615,Betalingen onderweg,14812
2016-01-21,-7913.59,S50031,IG000291,1615,Betalingen onderweg,14813
2016-01-21,-6991.3,S50031,IG000298,1615,Betalingen onderweg,14814
2016-01-21,-27.23,S50031,IG000299,1615,Betalingen onderweg,14815
2016-01-21,-2804.78,S50032,IG000301,1615,Betalingen onderweg,14816
2016-01-21,-918.39,S50035,IH000010,1615,Betalingen onderweg,14817
2016-01-21,-147.11,S50037,IK000499,1615,Betalingen onderweg,14818
2016-01-21,-1070.37,S50039,IK000491,1615,Betalingen onderweg,14819
2016-01-21,-476.74,S51306,IH000009,1615,Betalingen onderweg,14820
2016-01-21,-5137.42,S50034,IG000292,1615,Betalingen onderweg,14821
2016-01-21,-4505.07,S50034,IG000295,1615,Betalingen onderweg,14822
2016-01-21,-4536.17,S58231,IK000488,1615,Betalingen onderweg,14823
2016-01-21,-622.85,S58981,IK000495,1615,Betalingen onderweg,14824
2016-01-21,36.24,C10068,AB000904,1615,Betalingen onderweg,14825
2016-01-21,2341.35,C10068,VK001379,1615,Betalingen onderweg,14826
2016-01-21,907.5,C10186,CU000517,1615,Betalingen onderweg,14827
2016-01-21,3388,C10185,PR002602,1615,Betalingen onderweg,14828
2016-01-21,45.86,C10009,AB000907,1615,Betalingen onderweg,14829
2016-01-21,453.75,C10026,CU000521,1615,Betalingen onderweg,14830
2016-01-21,72.54,C10027,AB000910,1615,Betalingen onderweg,14831
2016-01-21,115.43,C10035,AB000913,1615,Betalingen onderweg,14832
2016-01-21,453.75,C10035,CU000524,1615,Betalingen onderweg,14833
2016-01-21,968,C10035,PR002560,1615,Betalingen onderweg,14834
2016-01-21,3267,C10036,CU000525,1615,Betalingen onderweg,14835
2016-01-21,1452,C10036,PR002561,1615,Betalingen onderweg,14836
2016-01-21,3267,C10037,CU000526,1615,Betalingen onderweg,14837
2016-01-21,1064.8,C10037,PR002616,1615,Betalingen onderweg,14838
2016-01-21,1452,C10040,PR002619,1615,Betalingen onderweg,14839
2016-01-21,72.54,C10041,AB000914,1615,Betalingen onderweg,14840
2016-01-21,1210,C10041,PR002563,1615,Betalingen onderweg,14841
2016-01-21,1506.26,C10041,VK001312,1615,Betalingen onderweg,14842
2016-01-21,968,C10051,PR002568,1615,Betalingen onderweg,14843
2016-01-21,398.94,C10054,AB000917,1615,Betalingen onderweg,14844
2016-01-21,1210,C10054,PR002569,1615,Betalingen onderweg,14845
2016-01-21,907.5,C10059,CU000530,1615,Betalingen onderweg,14846
2016-01-21,2274.8,C10059,PR002627,1615,Betalingen onderweg,14847
2016-01-21,72.54,C10064,AB000922,1615,Betalingen onderweg,14848
2016-01-21,3872,C10064,PR002628,1615,Betalingen onderweg,14849
2016-01-21,60.44,C10065,AB000923,1615,Betalingen onderweg,14850
2016-01-21,112.41,C10005,AB000925,1615,Betalingen onderweg,14851
2016-01-21,72.54,C10071,AB000926,1615,Betalingen onderweg,14852
2016-01-21,453.75,C10075,CU000532,1615,Betalingen onderweg,14853
2016-01-21,453.75,C10077,CU000534,1615,Betalingen onderweg,14854
2016-01-21,453.75,C10082,CU000536,1615,Betalingen onderweg,14855
2016-01-21,1306.8,C10082,PR002577,1615,Betalingen onderweg,14856
2016-01-21,2129.6,C10093,PR002632,1615,Betalingen onderweg,14857
2016-01-21,1210,C10100,PR002634,1615,Betalingen onderweg,14858
2016-01-21,453.75,C10103,CU000537,1615,Betalingen onderweg,14859
2016-01-21,870.66,C10103,VK001382,1615,Betalingen onderweg,14860
2016-01-21,3484.8,C10104,PR002636,1615,Betalingen onderweg,14861
2016-01-21,1936,C10111,PR002638,1615,Betalingen onderweg,14862
2016-01-21,692.12,C10133,VK001385,1615,Betalingen onderweg,14863
2016-01-21,72.54,C10136,AB000942,1615,Betalingen onderweg,14864
2016-01-21,1452,C10136,PR002644,1615,Betalingen onderweg,14865
2016-01-21,72.54,C10139,AB000944,1615,Betalingen onderweg,14866
2016-01-21,1306.8,C10139,PR002647,1615,Betalingen onderweg,14867
2016-01-21,72.54,C10140,AB000945,1615,Betalingen onderweg,14868
2016-01-21,28.86,C10140,AB000946,1615,Betalingen onderweg,14869
2016-01-21,2904,C10140,PR002596,1615,Betalingen onderweg,14870
2016-01-21,968,C10148,PR002650,1615,Betalingen onderweg,14871
2016-01-21,38.72,C10150,VK001364,1615,Betalingen onderweg,14872
2016-01-21,115.43,C10170,AB000950,1615,Betalingen onderweg,14873
2016-01-21,1064.8,C10170,PR002652,1615,Betalingen onderweg,14874
2016-01-21,52.64,C10177,VK001373,1615,Betalingen onderweg,14875
2016-01-21,82.16,C10181,AB000952,1615,Betalingen onderweg,14876
2016-01-21,1306.8,C10050,PR002601,1615,Betalingen onderweg,14877
2016-01-21,1064.8,C10014,PR002604,1615,Betalingen onderweg,14878
2016-01-21,2516.8,C10016,PR002606,1615,Betalingen onderweg,14879
2016-01-21,453.75,C10018,CU000518,1615,Betalingen onderweg,14880
2016-01-21,907.5,C10022,CU000519,1615,Betalingen onderweg,14881
