rekening_id,saldo_eind_2016
0100,9665.00
0110,325000.00
0120,29219.00
0130,53120.00
0200,-7988.04
0210,-86682.98
0220,-20748.20
0230,-26195.72
0650,1750705.45
0875,31000.00
1000,111.64
1100,268232.36
1150,500.00
1200,176625.69
1400,534084.15
1500,368605.42
1510,-1535534.31
1550,-776074.67
1570,1853693.00
1600,-748837.85
1610,-287000.00
1615,-6341.61
1650,13595.35
1805,-5757.27
1825,133441.38
1830,-125440.58
1835,-10511.05
1850,-36000.00
1855,-43320.00
2000,-29141.68
2010,-147278.36
2011,-84658.47
2080,-299.48
2600,198950.00
3020,60256.19
3030,95625.19
3040,44045.40
3050,17256.55
3080,4770.00
3090,1900.00
3600,-563903.79
