rekening_id,omschrijving,type,rapport_categorie
0100,Bedrijfsinventaris,Balans,Vaste activa
0110,Gebouwen en terreinen,Balans,Vaste activa
0120,Computerapparatuur,Balans,Vaste activa
0130,Vervoermiddelen,Balans,Vaste activa
0200,Afschrijving bedrijfsinventaris,Balans,Cumulatieve afschrijving
0210,Afschrijving gebouwen en terreinen,Balans,Cumulatieve afschrijving
0220,Afschrijving computerapparatuur,Balans,Cumulatieve afschrijving
0230,Afschrijving vervoermiddelen,Balans,Cumulatieve afschrijving
0300,Egalisatie reserve subsidies,Balans,Reserves / Voorzieningen
0310,Vervangingsreserve,Balans,Reserves / Voorzieningen
0320,Herinvesteringsreservering,Balans,Reserves / Voorzieningen
0500,Aandelenkapitaal,Balans,Eigen vermogen
0600,Algemene reserve,Balans,Eigen vermogen
0650,Onverdeeld resultaat,Balans,Eigen vermogen
0700,Hypotheek o/g,Balans,Financiële vaste activa
0750,Lening o/g,Balans,Financiële vaste activa
0875,Leningen aan personeel,Balans,Financiële vaste activa
1000,Kas,Balans,Liquide middelen
1100,Bank rekening courant,Balans,Liquide middelen
1150,Bank spaarrekening,Balans,Liquide middelen
1160,Bank salarisrekening,Balans,Liquide middelen
1200,ING Bank,Balans,Liquide middelen
1400,Debiteuren,Balans,Debiteuren
1405,Dubieuze debiteuren,Balans,Debiteuren
1415,Incasso onderweg,Balans,Debiteuren
1500,Btw te vorderen,Balans,Te vorderen belastingen
1510,Btw te betalen,Balans,Te vorderen belastingen
1550,Saldo btw vorig boekjaar,Balans,Te vorderen belastingen
1565,Btw privégebruik auto,Balans,Te vorderen belastingen
1570,Afdracht btw,Balans,Te vorderen belastingen
1600,Crediteuren,Balans,Crediteuren
1601,Crediteuren buitenland,Balans,Crediteuren
1610,Emballage,Balans,Crediteuren
1615,Betalingen onderweg,Balans,Crediteuren
1650,Rekening courant Service,Balans,Crediteuren
1651,Rekening courant Holding,Balans,Crediteuren
1700,Te betalen Vennootschapsbelasting,Balans,Te betalen belastingen
1800,Voorschotten lonen,Balans,Overige kortlopende schulden
1805,Verstrekte leningen personeel,Balans,Overige kortlopende schulden
1810,Loonbeslag,Balans,Overige kortlopende schulden
1815,Boetes personeel,Balans,Overige kortlopende schulden
1820,Fietsplan,Balans,Overige kortlopende schulden
1825,Te betalen loonheffing,Balans,Overige kortlopende schulden
1830,Te betalen sociale lasten,Balans,Overige kortlopende schulden
1835,Te betalen pensioenlasten,Balans,Overige kortlopende schulden
1840,Te betalen overige verzekeringen,Balans,Overige kortlopende schulden
1845,Ingehouden spaarloon,Balans,Overige kortlopende schulden
1850,Ingehouden levensloop,Balans,Overige kortlopende schulden
1853,Levensloop werkgever,Balans,Overige kortlopende schulden
1855,Ingehouden personeelsvereniging,Balans,Overige kortlopende schulden
1860,Collectieve ziektekosten,Balans,Overige kortlopende schulden
1900,Nog te nemen transitorische kosten,Balans,Tussenrekeningen passiva
1901,Nog te nemen transitorische omzet,Balans,Tussenrekeningen passiva
1992,Afronding activa,Balans,Tussenrekeningen passiva
1995,Tussenrekening lonen,Balans,Tussenrekeningen passiva
2000,Te betalen netto lonen,Balans,Voorzieningen
2010,Reservering vakantiegeld,Balans,Voorzieningen
2011,Verlof in geld,Balans,Voorzieningen
2015,Reservering bijzondere beloningen,Balans,Voorzieningen
2035,Reservering sociale verzekeringen vakantiegeld,Balans,Voorzieningen
2045,Reservering sociale lasten eindejaarsuitkering,Balans,Voorzieningen
2055,Reservering arbodienst,Balans,Voorzieningen
2060,Reservering ongevallenverzekering,Balans,Voorzieningen
2070,Tussenrekening pin,Balans,Voorzieningen
2080,Tussenrekening creditcard,Balans,Voorzieningen
2100,Kruisposten,Balans,Voorzieningen
2600,Tussenrekening activa,Balans,Anders balans
2900,Tegenrekening balans,Balans,Anders balans
2992,Afronding passiva,Balans,Anders balans
3000,Voorraad Algemeen,Balans,Voorraden
